Item #,Designator,Qty,Manufacturer,Manufacturer Part Number,Description,Package / Footprint,Value,LCSC Part #,Customer Notes
48,BACKPLANE1-R24,1,UNI-ROYAL (Uniroyal Elec),0603WAF4701T5E,,0603,4.7k 1%,C23162,
49,BACKPLANE1-R8,1,UNI-ROYAL (Uniroyal Elec),0603WAF4992T5E,,0603,49.9k 1%,C23184,
50,"CARRIER1-R7, CARRIER2-R7, CARRIER3-R7, CARRIER4-R7, CARRIER5-R7, CARRIER6-R7",6,UNI-ROYAL (Uniroyal Elec),0603WAF5101T5E,Resistor,0603,5.1k 1%,C23186,
51,BACKPLANE1-R3,1,UNI-ROYAL (Uniroyal Elec),0603WAF6202T5E,,0603,62k 1%,C23221,
52,"CARRIER1-R14, CARRIER2-R14, CARRIER3-R14, CARRIER4-R14, CARRIER5-R14, CARRIER6-R14",6,UNI-ROYAL (Uniroyal Elec),0603WAF6202T5E,Resistor,0603,62k 1%,C23221,
53,"BACKPLANE1-LED1, CARRIER1-LED1, CARRIER2-LED1, CARRIER3-LED1, CARRIER4-LED1, CARRIER5-LED1, CARRIER6-LED1",7,Worldsemi,WS2812B-2020-V6,"RGB LED with integrated controller, 2.0 x 2.0 mm, 12 mA",LED_WS2812B-2020_PLCC4_2.0x2.0mm,WS2812B-2020-V6,C52917434,
54,"CARRIER1-U3, CARRIER2-U3, CARRIER3-U3, CARRIER4-U3, CARRIER5-U3, CARRIER6-U3",6,Wuxi Maxinmicro,LMX5069MS,"Hot swap & Inrush current controller with power limiting, auto retry on fault, 9V to 80Vin, UVLO & OVLO, VSSOP-10",MSOP-10_3x3mm_P0.5mm_0.20mm_Clearance,LMX5069MS,C47967145,
55,BACKPLANE1-C6,1,YAGEO,CC0603JRNPO9BN221,,0603,220pF C0G,C106210,
56,"CARRIER1-C7, CARRIER2-C7, CARRIER3-C7, CARRIER4-C7, CARRIER5-C7, CARRIER6-C7",6,YAGEO,CC0603JRNPO9BN221,Unpolarized capacitor,0603,220pF,C106210,
57,"BACKPLANE1-C15, BACKPLANE1-C16, BACKPLANE1-C17, BACKPLANE1-C19, BACKPLANE1-C20, CARRIER1-C15, CARRIER1-C16, CARRIER2-C15, CARRIER2-C16, CARRIER3-C15, CARRIER3-C16, CARRIER4-C15, CARRIER4-C16, CARRIER5-C15, CARRIER5-C16, CARRIER6-C15, CARRIER6-C16",17,YAGEO,CC0603KRX7R9BB104,,0603,100nF,C14663,
58,"CARRIER1-C18, CARRIER2-C18, CARRIER3-C18, CARRIER4-C18, CARRIER5-C18, CARRIER6-C18",6,YAGEO,CC0603KRX7R9BB104,INA237 local supply bypass; place directly at U4 pins 6 and 7,0603,100nF,C14663,
59,"BACKPLANE1-C21, CARRIER1-C17, CARRIER2-C17, CARRIER3-C17, CARRIER4-C17, CARRIER5-C17, CARRIER6-C17",7,YAGEO,CC0603KRX7R9BB104,LED local bypass capacitor,0603,100nF,C14663,
60,"CARRIER1-C10, CARRIER1-C11, CARRIER1-C12, CARRIER1-C14, CARRIER1-C9, CARRIER2-C10, CARRIER2-C11, CARRIER2-C12, CARRIER2-C14, CARRIER2-C9, CARRIER3-C10, CARRIER3-C11, CARRIER3-C12, CARRIER3-C14, CARRIER3-C9, CARRIER4-C10, CARRIER4-C11, CARRIER4-C12, CARRIER4-C14, CARRIER4-C9, CARRIER5-C10, CARRIER5-C11, CARRIER5-C12, CARRIER5-C14, CARRIER5-C9, CARRIER6-C10, CARRIER6-C11, CARRIER6-C12, CARRIER6-C14, CARRIER6-C9",30,YAGEO,CC0603KRX7R9BB104,Unpolarized capacitor,0603,100nF,C14663,
61,"CARRIER1-D1, CARRIER2-D1, CARRIER3-D1, CARRIER4-D1, CARRIER5-D1, CARRIER6-D1",6,Zhuhai Hongjiacheng Technology,SMCJ48A,"1500 W unidirectional 48 V TVS diode, SMC (DO-214AB)",D_SMC,SMCJ48A,C19077611,
