Designator,Mid X,Mid Y,Rotation,Layer
CARRIER4-R11,147.165000,-136.210000,180.000000,top
CARRIER4-R12,97.900000,-135.320000,90.000000,top
CARRIER4-R13,97.900000,-127.050000,-90.000000,top
CARRIER4-R14,97.900000,-130.280000,-90.000000,top
CARRIER4-R15,92.490000,-126.300000,0.000000,top
CARRIER4-R16,96.345000,-123.735000,90.000000,top
CARRIER4-R17,78.760000,-133.145000,90.000000,top
CARRIER4-R18,78.760000,-139.535000,90.000000,top
CARRIER4-R19,84.500000,-132.680000,0.000000,top
CARRIER4-R2,78.390000,-153.230000,-90.000000,top
CARRIER4-R24,147.165000,-138.180000,180.000000,top
CARRIER4-R25,147.165000,-134.240000,180.000000,top
CARRIER4-R26,67.120000,-125.150000,-90.000000,top
CARRIER4-R28,151.130000,-126.920000,-90.000000,top
CARRIER4-R3,76.650000,-153.230000,-90.000000,top
CARRIER4-R30,147.165000,-140.150000,180.000000,top
CARRIER4-R31,147.940000,-144.270000,-90.000000,top
CARRIER4-R32,149.255000,-131.740000,-90.000000,top
CARRIER4-R4,70.890000,-144.310000,-90.000000,top
CARRIER4-R5,72.915000,-148.915000,-90.000000,top
CARRIER4-R6,73.515000,-144.810000,0.000000,top
CARRIER4-R7,73.515000,-146.390000,0.000000,top
CARRIER4-R8,69.190000,-144.310000,-90.000000,top
CARRIER4-R9,70.017500,-150.685000,0.000000,top
CARRIER4-U1,142.877500,-127.340000,180.000000,top
CARRIER4-U2,94.350000,-132.800000,90.000000,top
CARRIER4-U3,77.612500,-147.480000,-90.000000,top
CARRIER4-U4,82.850000,-135.230000,180.000000,top
CARRIER4-U5,75.740000,-128.482500,180.000000,top
CARRIER5-C1,74.555000,-179.710000,180.000000,top
CARRIER5-C10,78.760000,-173.230000,-90.000000,top
CARRIER5-C11,148.480000,-166.230000,180.000000,top
CARRIER5-C12,147.730000,-163.820000,-90.000000,top
CARRIER5-C13,149.430000,-163.820000,-90.000000,top
CARRIER5-C14,147.940000,-186.495000,-90.000000,top
CARRIER5-C15,80.265000,-165.315000,-90.000000,top
CARRIER5-C16,73.520000,-161.760000,0.000000,top
CARRIER5-C17,147.165000,-178.790000,180.000000,top
CARRIER5-C18,81.400000,-169.580000,0.000000,top
CARRIER5-C2,74.500000,-185.815000,90.000000,top
CARRIER5-C3,88.620000,-172.380000,180.000000,top
CARRIER5-C4,88.620000,-169.120000,180.000000,top
CARRIER5-C5,92.490000,-164.775000,180.000000,top
CARRIER5-C6,95.570000,-163.200000,0.000000,top
CARRIER5-C7,95.570000,-164.775000,0.000000,top
CARRIER5-C8,92.270000,-160.635000,-90.000000,top
CARRIER5-C9,82.471766,-167.923054,0.000000,top
CARRIER5-D1,70.690000,-173.590000,-90.000000,top
CARRIER5-D2,66.372500,-179.780000,0.000000,top
CARRIER5-L1,85.966766,-162.866882,180.000000,top
CARRIER5-L3,69.210000,-165.457500,0.000000,top
CARRIER5-LED1,151.390000,-167.860000,-90.000000,top
CARRIER5-Q1,85.780000,-181.385000,90.000000,top
CARRIER5-Q2,70.017500,-184.810000,90.000000,top
CARRIER5-Q3,70.017500,-190.130000,180.000000,top
CARRIER5-R1,76.030000,-173.177500,-90.000000,top
CARRIER5-R10,72.915000,-190.130000,90.000000,top
CARRIER5-R11,147.165000,-173.110000,180.000000,top
CARRIER5-R12,97.900000,-172.220000,90.000000,top
CARRIER5-R13,97.900000,-163.950000,-90.000000,top
CARRIER5-R14,97.900000,-167.180000,-90.000000,top
CARRIER5-R15,92.490000,-163.200000,0.000000,top
CARRIER5-R16,96.345000,-160.635000,90.000000,top
CARRIER5-R17,78.760000,-170.045000,90.000000,top
CARRIER5-R18,78.760000,-176.435000,90.000000,top
CARRIER5-R19,84.500000,-169.580000,0.000000,top
CARRIER5-R2,78.390000,-190.130000,-90.000000,top
CARRIER5-R24,147.165000,-175.080000,180.000000,top
CARRIER5-R25,147.165000,-171.140000,180.000000,top
CARRIER5-R26,67.120000,-162.050000,-90.000000,top
