Designator,Footprint,Quantity,Value,LCSC Part #
"CARRIER1-U1, CARRIER2-U1, CARRIER3-U1, CARRIER4-U1, CARRIER5-U1, CARRIER6-U1",QFN-28_4x4mm_P0.5mm,6,STM32C092GCU6,C44847705
"CARRIER1-U5, CARRIER2-U5, CARRIER3-U5, CARRIER4-U5, CARRIER5-U5, CARRIER6-U5",SOIC-8_3.9x4.9mm_P1.27mm,6,TCAN3413DR,C22433320
"CARRIER1-Q2, CARRIER1-Q3, CARRIER2-Q2, CARRIER2-Q3, CARRIER3-Q2, CARRIER3-Q3, CARRIER4-Q2, CARRIER4-Q3, CARRIER5-Q2, CARRIER5-Q3, CARRIER6-Q2, CARRIER6-Q3",SOT-23,12,2N7002,C8545
"BACKPLANE1-Q1, BACKPLANE1-Q10, BACKPLANE1-Q2, BACKPLANE1-Q5, BACKPLANE1-Q6, BACKPLANE1-Q9",SOT-23,6,BSS123,C513249
"CARRIER1-D2, CARRIER2-D2, CARRIER3-D2, CARRIER4-D2, CARRIER5-D2, CARRIER6-D2",SOT-23,6,PESD2CANFD27V-TR,C552488
"BACKPLANE1-D1, BACKPLANE1-D2, BACKPLANE1-D3, BACKPLANE1-D4, BACKPLANE1-D5, BACKPLANE1-D6",SOT-23,6,"PESD5V0S2BT,215",C49338
"CARRIER1-U2, CARRIER2-U2, CARRIER3-U2, CARRIER4-U2, CARRIER5-U2, CARRIER6-U2",TI_SO-PowerPAD-8,6,LM5163DDAR,C2873264
"BACKPLANE1-Q11, BACKPLANE1-Q12, BACKPLANE1-Q3, BACKPLANE1-Q4, BACKPLANE1-Q7, BACKPLANE1-Q8",TO-252-3_TabPin2,6,SQD50P06-15L_GE3,C3281500
"CARRIER1-Q1, CARRIER2-Q1, CARRIER3-Q1, CARRIER4-Q1, CARRIER5-Q1, CARRIER6-Q1",TO-263-3_TabPin2,6,IPB020N10N5LF,C536484
"CARRIER1-U4, CARRIER2-U4, CARRIER3-U4, CARRIER4-U4, CARRIER5-U4, CARRIER6-U4",TSSOP-10_3x3mm_P0.5mm,6,INA237AIDGSR,C2864837
BACKPLANE1-U2,TSSOP-16_4.4x5mm_P0.65mm,1,PCA9554PWR,C2873588
BACKPLANE1-U1,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,C130026
